exp,file_num,t_entry,motion_pre,occupied,scorer
492,2,169.0795,0.0,False,gily
494,31,246.3468,0.0,True,gily
496,0,317.0929,0.0,False,gily
498,2,35.2916,0.0,False,gily
503,4,202.1554,0.0,True,gily
498,0,65.1611,0.0,False,gily
504,125,237.308,0.0,False,gily
504,184,283.4851,0.0,False,gily
544,13,181.7618,0.0,False,gily
526,3,18.4366,0.0,False,gily
526,9,197.5686,0.0,False,gily
520,1,265.2792,0.0,True,gily
517,120,299.1443,0.0,False,gily
516,7,295.5261,0.0,True,gily
515,14,333.7268,0.0,False,gily
526,24,219.7903,0.0,False,gily
566,2,252.8859,0.0,True,gily
566,3,241.285,0.0,True,gily
566,3,20.9761,0.0,True,gily
526,14,171.5436,2.237136465324385e-07,True,gily
505,16,260.7711,2.237136465324385e-07,True,gily
522,11,40.8274,2.237136465324385e-07,True,gily
497,113,173.4751,4.47427293064877e-07,True,gily
496,5,160.7443,4.47427293064877e-07,True,gily
511,13,210.9883,1.3422818791946309e-06,False,gily
515,0,229.3214,1.3422818791946309e-06,True,gily
516,5,61.8516,1.3422818791946309e-06,True,gily
496,11,125.7502,1.7897091722595078e-06,True,gily
510,5,101.3452,2.237136465324385e-06,True,gily
526,70,189.3864,2.237136465324385e-06,True,gily
530,3,7.4853,2.6845637583892617e-06,False,gily
499,4,289.7237,2.6845637583892617e-06,True,gily
516,4,344.0478,2.6845637583892617e-06,True,gily
530,7,99.3818,2.908277404921701e-06,False,gily
530,11,163.2122,3.131991051454139e-06,False,gily
548,121,227.3036,3.131991051454139e-06,False,gily
505,129,248.1815,3.3557046979865773e-06,True,gily
530,7,131.3372,3.3557046979865773e-06,False,gily
513,174,200.226,3.579418344519016e-06,True,gily
549,18,48.3601,3.579418344519016e-06,True,gily
545,169,349.6045,4.921700223713647e-06,True,gily
509,1,60.1847,5.1454138702460855e-06,True,gily
557,66,260.7338,5.5928411633109614e-06,True,gily
520,3,5.8207,6.487695749440716e-06,True,gily
557,66,294.8408,6.487695749440716e-06,True,gily
494,1,284.6905,6.487695749440717e-06,True,gily
510,3,82.8943,7.38255033557047e-06,True,gily
548,115,299.8951,8.053691275167787e-06,False,gily
497,156,185.0002,8.053691275167787e-06,True,gily
525,13,136.6728,8.277404921700225e-06,True,gily
519,150,136.2174,1.0290827740492173e-05,True,gily
535,1,280.3122,1.1185682326621926e-05,True,gily
508,84,356.7786,1.208053691275168e-05,True,gily
509,5,85.0201,1.2304250559284115e-05,True,gily
552,90,318.1144,1.2527964205816556e-05,True,gily
548,153,309.6261,1.2975391498881432e-05,True,gily
544,9,159.5703,1.45413870246085e-05,True,gily
514,7,140.8319,1.4541387024608505e-05,True,gily
508,84,127.4803,1.5659955257270695e-05,True,gily
544,13,100.7051,1.5883668903803133e-05,False,gily
557,65,68.913,1.6107382550335573e-05,True,gily
535,1,23.1248,1.7225950782997762e-05,True,gily
494,21,153.1673,1.9686800894854587e-05,True,gily
501,166,97.1546,2.0134228187919465e-05,True,gily
555,163,108.6451,2.102908277404922e-05,True,gily
559,10,124.7474,2.2818791946308727e-05,True,gily
549,5,100.5849,2.5055928411633108e-05,True,gily
499,0,334.4812,2.5727069351230423e-05,True,gily
508,19,156.6398,2.684563758389261e-05,True,gily
545,172,145.2917,2.8411633109619688e-05,True,gily
559,10,14.4816,3.1543624161073825e-05,True,gily
565,94,63.4233,3.355704697986577e-05,True,gily
494,47,210.7983,3.400447427293065e-05,True,gily
557,66,52.5341,3.4675615212527964e-05,True,gily
519,14,89.7825,3.60178970917226e-05,True,gily
545,35,161.5019,3.691275167785235e-05,True,gily
504,136,58.4173,3.691275167785236e-05,True,gily
544,7,269.5796,4.026845637583892e-05,True,gily
499,3,128.8711,4.228187919463087e-05,True,gily
552,2,240.8727,4.608501118568233e-05,True,gily
509,2,114.1574,5.369127516778524e-05,True,gily
555,41,280.5668,7.404921700223712e-05,True,gily
505,26,70.3862,7.67337807606264e-05,True,gily
541,6,3.0582,8.456375838926175e-05,True,gily
509,6,94.6845,0.0001165548098434,True,gily
557,66,194.5554,0.0001228187919463,True,gily
563,10,228.6029,0.0001257270693512,True,gily
535,14,13.3658,0.0001400447427293,True,gily
566,0,117.8716,0.0001447427293064,True,gily
534,4,352.2731,0.0001617449664429,False,gily
519,84,212.2921,0.0002116331096196,True,gily
548,115,271.3011,0.0002263982102908,False,gily
519,19,177.0271,0.0002297539149888,True,gily
548,4,243.819,0.0002398210290827,True,gily
560,3,200.0255,0.0002431767337807,False,gily
535,27,109.8968,0.00025548098434,True,gily
521,0,248.82,0.0002628635346756,True,gily
565,93,327.8858,0.0002715883668903,True,gily
493,116,37.7078,0.0002803131991051,True,gily
534,6,172.8923,0.0003098434004474,True,gily
535,13,33.5193,0.0003116331096196,True,gily
497,50,62.4939,0.0003199105145413,True,gily
550,7,10.2057,0.0003335570469798,True,gily
497,53,218.9385,0.0003514541387024,True,gily
532,2,44.2196,0.0003597315436241,True,gily
565,96,61.9156,0.0003608501118568,True,gily
544,13,45.766,0.0003776286353467,False,gily
535,27,136.1816,0.0003883668903803,True,gily
518,23,282.4554,0.000410514541387,True,gily
559,10,193.3043,0.0004147651006711,True,gily
517,174,313.5897,0.000448769574944,True,gily
